SEZ2011,COMUNE,gruppo,gap_score,rank,categoria,livello_confidenza,nome,lat,lon,punteggio_traffico,distanza_segmento_top_m,congestione_segmento_top,n_letture_segmento_top
151660000118,Paderno Dugnano,critica,0.5832176550545876,1,food_drink,3,Lady Pizza,45.5621489,9.1617618,0.1549,54.1,0.189,6
151660000118,Paderno Dugnano,critica,0.5832176550545876,2,food_drink,3,I Love Cofeé,45.563328,9.1609236,0.0631,199.9,0.189,6
151660000290,Paderno Dugnano,critica,0.48491083874207447,1,parking,2,,45.5681508,9.1862233,0.4206,100.6,0.633,12
151660000063,Paderno Dugnano,critica,0.5168986485121513,1,parking,2,,45.5761131,9.1639353,0.1853,103.6,0.283,145
151660000076,Paderno Dugnano,critica,0.48013748639998616,1,parking,2,,45.5697536,9.1578979,0.4083,106.5,0.633,28
151890000099,Rozzano,critica,0.4823308042838962,1,parking,2,,45.3784701,9.1774082,0.4505,12.5,0.47,49
151950000109,San Giuliano Milanese,critica,0.44503429945138195,1,parking,2,,45.3884514,9.3075079,0.2341,32.0,0.262,130
150410000028,Busto Garolfo,critica,0.5900948609984791,1,parking,2,,45.5425781,8.8800399,0.4764,50.1,0.572,38
150410000016,Busto Garolfo,critica,0.6289858502137042,1,supermarket,1,Unes,45.5518578,8.8889777,0.4897,42.3,0.57,56
150410000016,Busto Garolfo,critica,0.6289858502137042,2,parking,2,,45.552532,8.8901759,0.2923,146.1,0.57,56
150410000004,Busto Garolfo,critica,0.6644714248197006,1,parking,2,,45.5481626,8.8858211,0.1957,12.2,0.204,22
150410000004,Busto Garolfo,critica,0.6644714248197006,2,food_drink,3,Caffè del Corso,45.5459709,8.8850623,0.1193,182.3,0.304,6
151460002565,Milano,critica,0.5387741084595694,1,food_drink,3,Levante,45.434449,9.2237501,0.0346,280.0,0.519,25
150700000004,Cernusco sul Naviglio,critica,0.6318775666869645,1,parking,2,,45.5262348,9.3264909,0.079,183.2,0.203,19
151590000013,Opera,critica,0.7339534266263019,1,parking,2,,45.3950476,9.2128346,0.6559,57.4,0.811,15
151590000022,Opera,critica,0.730949158314262,1,parking,2,,45.3937867,9.2103342,0.1426,82.9,0.197,9
151590000022,Opera,critica,0.730949158314262,2,food_drink,3,Dejavu,45.3946729,9.2116735,0.1267,107.1,0.197,9
150700000009,Cernusco sul Naviglio,critica,0.5797978107224385,1,food_drink,3,O Sole Mio,45.5232473,9.3305039,0.4109,46.4,0.486,8
150700000009,Cernusco sul Naviglio,critica,0.5797978107224385,2,office,2,beatdata,45.5231992,9.33466,0.1785,130.5,0.316,22
150260000008,Boffalora sopra Ticino,critica,0.5197615055395706,1,food_drink,3,Bar Dogana,45.4599935,8.8458593,0.6724,59.3,0.838,6
150960000009,Cuggiono,critica,0.47259651320175355,1,parking,2,,45.5072952,8.8090472,0.1969,103.1,0.3,37
150960000001,Cuggiono,critica,0.42998987033450975,1,food_drink,3,,45.5049883,8.8160543,0.4832,49.6,0.579,6
150960000001,Cuggiono,critica,0.42998987033450975,2,parking,2,,45.5046985,8.8140392,0.3352,126.3,0.579,6
