SEZ2011,COMUNE,gap_score,colonnine_necessarie,gap_score_dopo
150220000002,Besate,0.8458,3,0.3564
150590000040,Cassano d'Adda,0.809,2,0.4197
150220000001,Besate,0.8066,2,0.3881
151390000012,Mediglia,0.8052,3,0.3496
150990000006,Dairago,0.771,2,0.424
150990000004,Dairago,0.7677,2,0.4263
151390000005,Mediglia,0.7604,3,0.3575
151390000004,Mediglia,0.7586,1,0.4245
151830000004,Robecchetto con Induno,0.7554,2,0.3889
150990000005,Dairago,0.7543,2,0.4127
152240000010,Truccazzano,0.7477,2,0.3942
151060000002,Gessate,0.7425,3,0.3594
151460002842,Milano,0.7417,3,0.358
152360000001,Vernate,0.7404,2,0.3622
150770000370,Cinisello Balsamo,0.7379,2,0.4235
150770000308,Cinisello Balsamo,0.7375,3,0.3526
151830000005,Robecchetto con Induno,0.736,2,0.3794
151590000014,Opera,0.7351,3,0.3535
150770000455,Cinisello Balsamo,0.7343,3,0.3552
151590000013,Opera,0.734,3,0.3498
151390000006,Mediglia,0.7321,2,0.3903
151590000022,Opera,0.7309,3,0.3542
150990000018,Dairago,0.7298,1,0.409
150770000392,Cinisello Balsamo,0.7273,2,0.3995
151390000001,Mediglia,0.7264,1,0.4186
151060000024,Gessate,0.7259,3,0.3529
151840000008,Robecco sul Naviglio,0.7257,2,0.4057
152360000004,Vernate,0.7249,2,0.4098
151780000006,Pozzuolo Martesana,0.7249,2,0.4266
150270000046,Bollate,0.7233,2,0.4281
151840000006,Robecco sul Naviglio,0.723,2,0.412
151840000003,Robecco sul Naviglio,0.7196,2,0.3991
151780000010,Pozzuolo Martesana,0.7181,2,0.4258
151030000093,Gaggiano,0.7171,1,0.4287
150990000001,Dairago,0.7159,2,0.3611
150770000393,Cinisello Balsamo,0.7141,2,0.3696
150770000310,Cinisello Balsamo,0.7121,2,0.4022
151660000079,Paderno Dugnano,0.7119,2,0.4257
151390000003,Mediglia,0.7112,1,0.3803
151840000004,Robecco sul Naviglio,0.7108,2,0.3801
151460002739,Milano,0.7106,2,0.3934
150270000044,Bollate,0.7092,2,0.4279
150410000011,Busto Garolfo,0.7032,2,0.3815
150720000017,Cerro Maggiore,0.6999,3,0.3597
150700000003,Cernusco sul Naviglio,0.6971,3,0.3505
151060000001,Gessate,0.6956,3,0.3523
150990000002,Dairago,0.6943,2,0.3842
151460002738,Milano,0.6941,2,0.3974
151720000033,Pessano con Bornago,0.6918,3,0.3592
151780000007,Pozzuolo Martesana,0.6871,2,0.4034
150850000020,Corbetta,0.6859,2,0.387
150770000233,Cinisello Balsamo,0.6852,2,0.415
151840000007,Robecco sul Naviglio,0.6833,2,0.3608
150770000367,Cinisello Balsamo,0.6831,2,0.4191
151780000005,Pozzuolo Martesana,0.6814,2,0.372
151720000002,Pessano con Bornago,0.6811,3,0.3545
151730000021,Pieve Emanuele,0.6809,2,0.4281
150270000045,Bollate,0.6788,2,0.3929
151660000293,Paderno Dugnano,0.678,3,0.3608
151650000001,Ozzero,0.6777,2,0.3995
150990000003,Dairago,0.6763,2,0.4111
150410000013,Busto Garolfo,0.6729,2,0.3595
151030000118,Gaggiano,0.6721,2,0.3684
150700000005,Cernusco sul Naviglio,0.671,2,0.4137
150770000365,Cinisello Balsamo,0.6704,2,0.3919
150700000008,Cernusco sul Naviglio,0.6704,2,0.4098
150720000018,Cerro Maggiore,0.669,3,0.3612
150700000013,Cernusco sul Naviglio,0.6688,3,0.3516
151590000012,Opera,0.6679,2,0.4028
150700000012,Cernusco sul Naviglio,0.6655,2,0.4175
151840000015,Robecco sul Naviglio,0.665,3,0.3511
150410000004,Busto Garolfo,0.6645,2,0.4059
150440000002,Cambiago,0.6644,2,0.4257
151080000032,Gorgonzola,0.6638,2,0.3823
151500000009,Morimondo,0.6629,1,0.2742
150700000002,Cernusco sul Naviglio,0.6628,2,0.3759
151780000015,Pozzuolo Martesana,0.6626,2,0.4058
151660000084,Paderno Dugnano,0.6619,2,0.4099
152060000014,Senago,0.6615,2,0.3799
151460003040,Milano,0.6593,2,0.4254
151500000002,Morimondo,0.6585,2,0.3718
150410000012,Busto Garolfo,0.657,1,0.3872
151150000010,Lacchiarella,0.6557,1,0.3324
151720000007,Pessano con Bornago,0.6556,3,0.3601
151460004257,Milano,0.6548,2,0.4215
150770000394,Cinisello Balsamo,0.6547,1,0.3958
151650000002,Ozzero,0.6528,2,0.4182
150700000001,Cernusco sul Naviglio,0.6527,2,0.366
151080000012,Gorgonzola,0.6526,3,0.3545
150440000018,Cambiago,0.6516,2,0.4196
151780000003,Pozzuolo Martesana,0.6513,2,0.3881
151660000080,Paderno Dugnano,0.6512,1,0.4278
151660000007,Paderno Dugnano,0.6511,2,0.4179
151390000002,Mediglia,0.6509,1,0.3425
151660000119,Paderno Dugnano,0.6505,2,0.3841
150990000017,Dairago,0.6484,1,0.3331
150410000014,Busto Garolfo,0.6483,2,0.377
150770000408,Cinisello Balsamo,0.6481,3,0.3623
152050000050,Segrate,0.6471,2,0.4138
151780000004,Pozzuolo Martesana,0.6459,2,0.4015
151460004432,Milano,0.6449,2,0.4147
151660000018,Paderno Dugnano,0.6431,2,0.368
150590000039,Cassano d'Adda,0.6426,1,0.3407
150020000226,Abbiategrasso,0.6421,2,0.4274
151460004442,Milano,0.6414,2,0.3786
151660000114,Paderno Dugnano,0.6397,2,0.4255
151460004443,Milano,0.6395,2,0.3594
152200000021,Trezzano sul Naviglio,0.6391,3,0.3534
151570000124,Novate Milanese,0.6373,2,0.4219
151060000018,Gessate,0.6364,3,0.3508
151180000073,Legnano,0.635,2,0.4281
151460002737,Milano,0.6336,2,0.3757
150970000048,Cusago,0.6333,2,0.3962
150700000030,Cernusco sul Naviglio,0.633,3,0.3591
150700000004,Cernusco sul Naviglio,0.6319,2,0.414
151660000081,Paderno Dugnano,0.6312,1,0.3957
150770000407,Cinisello Balsamo,0.6306,2,0.4282
150500000006,Carpiano,0.6302,1,0.3855
150770000005,Cinisello Balsamo,0.6297,2,0.3917
150410000016,Busto Garolfo,0.629,2,0.4235
150770000307,Cinisello Balsamo,0.6287,1,0.42
150770000139,Cinisello Balsamo,0.6284,2,0.3793
150700000034,Cernusco sul Naviglio,0.627,3,0.3603
151840000010,Robecco sul Naviglio,0.6267,1,0.3982
151710000159,Peschiera Borromeo,0.626,1,0.4149
150120000042,Bareggio,0.6256,2,0.402
150700000026,Cernusco sul Naviglio,0.6248,3,0.3595
150700000064,Cernusco sul Naviglio,0.6248,2,0.4221
150700000065,Cernusco sul Naviglio,0.6244,2,0.4266
150700000031,Cernusco sul Naviglio,0.6243,3,0.3607
150440000003,Cambiago,0.6242,2,0.4146
151060000025,Gessate,0.6241,1,0.3986
150770000363,Cinisello Balsamo,0.6228,2,0.3682
150770000409,Cinisello Balsamo,0.6227,3,0.3586
150860000038,Cormano,0.6216,2,0.3755
150990000014,Dairago,0.6212,1,0.3259
150700000017,Cernusco sul Naviglio,0.6206,2,0.4226
151300000230,Magenta,0.6202,2,0.3926
150700000011,Cernusco sul Naviglio,0.6201,2,0.4058
150700000018,Cernusco sul Naviglio,0.6195,2,0.3988
150720000020,Cerro Maggiore,0.6194,2,0.3738
150410000015,Busto Garolfo,0.6193,2,0.3824
152110000030,Settimo Milanese,0.6184,2,0.428
150700000007,Cernusco sul Naviglio,0.6183,2,0.4023
151700000040,Pero,0.6176,2,0.3915
150770000237,Cinisello Balsamo,0.6168,2,0.3644
150140000002,Basiano,0.6153,3,0.3572
151570000123,Novate Milanese,0.6152,2,0.4165
151730000022,Pieve Emanuele,0.6136,2,0.4207
151660000262,Paderno Dugnano,0.6136,2,0.3738
151460002845,Milano,0.6135,1,0.3423
151720000005,Pessano con Bornago,0.6127,3,0.3625
150720000016,Cerro Maggiore,0.6125,2,0.415
150120000032,Bareggio,0.6122,2,0.3796
151540000021,Nerviano,0.6116,2,0.4199
150700000024,Cernusco sul Naviglio,0.6112,2,0.419
150770000230,Cinisello Balsamo,0.6111,1,0.4189
150770000002,Cinisello Balsamo,0.611,2,0.4142
151460004258,Milano,0.6103,2,0.4184
150590000004,Cassano d'Adda,0.6091,2,0.4153
151460004438,Milano,0.609,2,0.3912
150770000004,Cinisello Balsamo,0.6084,2,0.4242
150700000027,Cernusco sul Naviglio,0.6077,2,0.4263
151390000007,Mediglia,0.6075,2,0.3853
150440000015,Cambiago,0.6068,2,0.4156
150770000036,Cinisello Balsamo,0.6068,2,0.4112
151660000296,Paderno Dugnano,0.606,2,0.37
150120000016,Bareggio,0.6054,2,0.3643
150120000001,Bareggio,0.605,2,0.4207
151660000008,Paderno Dugnano,0.6039,2,0.4194
151700000029,Pero,0.6037,1,0.4133
150410000005,Busto Garolfo,0.6033,2,0.4098
151400000035,Melegnano,0.6032,3,0.3592
150440000014,Cambiago,0.6031,2,0.4072
152000000005,Santo Stefano Ticino,0.603,2,0.3886
151660000240,Paderno Dugnano,0.6017,2,0.4149
150770000021,Cinisello Balsamo,0.601,2,0.3586
151140000012,Inzago,0.5994,2,0.3579
150440000008,Cambiago,0.5991,3,0.3557
151420000028,Melzo,0.5984,2,0.4247
151420000026,Melzo,0.5981,3,0.352
152370000018,Vignate,0.5981,2,0.4183
150600000026,Cassina de' Pecchi,0.5979,3,0.3603
151460004441,Milano,0.5977,1,0.4154
151300000220,Magenta,0.5976,1,0.3696
150770000368,Cinisello Balsamo,0.5968,1,0.3941
150770000011,Cinisello Balsamo,0.5967,2,0.4081
151030000138,Gaggiano,0.5967,1,0.3446
150410000003,Busto Garolfo,0.5965,1,0.4001
150970000002,Cusago,0.5958,2,0.4099
151030000117,Gaggiano,0.5954,1,0.3651
150770000216,Cinisello Balsamo,0.5949,2,0.3917
150770000153,Cinisello Balsamo,0.5946,3,0.3548
151720000006,Pessano con Bornago,0.594,3,0.3633
150770000141,Cinisello Balsamo,0.5939,2,0.3571
151660000294,Paderno Dugnano,0.5938,2,0.4095
150720000012,Cerro Maggiore,0.5914,2,0.4244
151780000009,Pozzuolo Martesana,0.5907,1,0.4066
151840000014,Robecco sul Naviglio,0.5907,2,0.3714
151660000053,Paderno Dugnano,0.5903,2,0.398
150410000028,Busto Garolfo,0.5901,2,0.3822
151660000086,Paderno Dugnano,0.5899,2,0.3915
151140000011,Inzago,0.5891,2,0.363
150770000229,Cinisello Balsamo,0.5884,1,0.4269
150050000021,Albairate,0.5884,1,0.312
151660000087,Paderno Dugnano,0.5873,2,0.4027
151660000201,Paderno Dugnano,0.587,2,0.3637
151390000014,Mediglia,0.5868,1,0.3453
151780000013,Pozzuolo Martesana,0.5862,2,0.405
151660000113,Paderno Dugnano,0.5858,2,0.3694
150770000017,Cinisello Balsamo,0.5849,2,0.3949
151400000034,Melegnano,0.5845,3,0.3543
151080000022,Gorgonzola,0.5843,2,0.4138
151460004447,Milano,0.5842,2,0.4057
151950000009,San Giuliano Milanese,0.5833,3,0.3522
151660000118,Paderno Dugnano,0.5832,2,0.3686
150770000364,Cinisello Balsamo,0.5831,1,0.4074
151460004435,Milano,0.5831,2,0.4137
150700000022,Cernusco sul Naviglio,0.5828,2,0.4258
150770000142,Cinisello Balsamo,0.5826,2,0.3819
151460004489,Milano,0.5823,2,0.4186
151180000085,Legnano,0.5821,3,0.3567
151300000058,Magenta,0.5817,2,0.4032
150770000235,Cinisello Balsamo,0.5807,1,0.3865
150770000458,Cinisello Balsamo,0.5807,3,0.3607
150410000001,Busto Garolfo,0.5804,2,0.3579
150770000143,Cinisello Balsamo,0.5804,1,0.4044
152010000013,San Vittore Olona,0.5804,2,0.3655
151780000016,Pozzuolo Martesana,0.5801,1,0.3996
150700000009,Cernusco sul Naviglio,0.5798,1,0.3986
151660000203,Paderno Dugnano,0.5786,1,0.388
151730000018,Pieve Emanuele,0.5785,3,0.35
150770000218,Cinisello Balsamo,0.5782,1,0.4184
150770000006,Cinisello Balsamo,0.5779,2,0.386
