SEZ2011,gruppo,n_segmenti_tot,max_letture
151660000018,critica,1,2
151660000118,critica,2,6
151660000061,critica,0,0
151660000290,critica,9,164
151660000231,critica,4,1
151660000086,critica,5,34
151660000063,critica,3,145
151660000076,critica,3,28
151660000052,critica,1,1
151460002751,critica,1,15
151460003224,critica,0,0
151890000099,critica,7,73
151950000109,critica,18,131
151460003245,critica,0,0
151440000002,critica,2,124
150410000028,critica,47,64
150410000016,critica,11,105
150410000004,critica,10,74
151460002565,critica,2,25
150700000004,critica,9,19
151460001262,critica,0,0
151460001267,critica,0,0
151890000097,critica,2,1
151890000094,critica,0,0
151890000031,critica,5,2
151890000098,critica,0,0
151920000052,critica,4,124
151920000051,critica,0,0
151460002750,critica,0,0
151460002753,critica,0,0
151590000013,critica,1,15
151590000014,critica,0,0
151590000022,critica,14,121
151950000009,critica,0,0
151950000071,critica,0,0
151460003225,critica,0,0
151460006067,critica,0,0
151460001263,critica,0,0
151840000030,critica,1,124
151460002567,critica,0,0
150700000009,critica,15,22
150260000008,critica,43,206
151460003209,critica,2,1
150960000009,critica,45,354
151830000002,critica,5,124
150990000001,critica,10,6
150960000005,critica,42,196
150960000001,critica,34,120
150990000004,critica,15,124
150960000008,critica,4,124
150960000007,critica,0,0
151950000106,critica,0,0
150990000006,critica,52,124
151830000003,critica,18,130
150990000005,critica,3,8
151830000005,critica,4,122
150960000006,critica,36,123
150380000015,critica,2,124
152430000088,critica,8,16
152000000001,critica,20,103
152430000042,critica,4,119
152430000063,critica,2,34
152000000003,critica,1,124
152000000005,critica,0,0
152430000045,critica,7,6
152000000004,critica,13,120
152430000048,critica,2,10
152490000011,critica,0,0
151130000023,critica,3,4
151440000003,critica,4,13
150720000018,critica,28,129
151540000021,critica,23,111
150700000013,critica,9,52
150700000014,critica,30,121
150700000016,critica,2,124
150700000015,critica,5,124
150700000031,critica,1,8
150700000032,critica,4,116
150700000064,critica,4,123
150700000024,critica,1,3
150700000022,critica,4,121
150700000006,critica,34,124
150700000060,critica,4,170
150700000020,critica,1,1
150700000002,critica,0,0
150700000021,critica,1,1
150700000003,critica,8,16
150700000007,critica,32,76
150700000008,critica,3,12
150700000034,critica,7,243
150700000018,critica,1,124
150700000017,critica,2,248
150700000019,critica,5,124
150700000023,critica,19,121
150990000003,critica,19,132
152010000013,critica,1,1
150410000010,critica,16,97
150410000011,critica,6,21
150410000018,critica,39,62
150990000002,critica,15,224
150410000005,critica,65,46
150720000015,critica,30,94
150410000014,critica,18,67
150410000002,critica,6,31
150410000001,critica,10,56
150410000015,critica,12,43
150410000003,critica,5,124
152480000014,critica,1,1
150410000013,critica,14,107
150410000009,critica,12,127
150410000012,critica,12,162
151540000022,critica,3,123
151820000178,critica,17,91
151660000372,critica,0,0
151460004437,critica,0,0
151460004257,critica,0,0
151460004258,critica,0,0
151460004303,critica,0,0
151460004269,critica,0,0
151460004441,critica,7,106
151460004438,critica,0,0
151460004451,critica,15,112
150720000017,critica,9,122
151460003045,critica,0,0
151460003218,critica,0,0
151460003217,critica,1,20
150120000016,critica,3,10
152040000096,critica,8,105
152040000071,critica,0,0
150120000042,critica,0,0
152290000011,critica,0,0
150720000020,critica,10,127
150120000035,critica,2,121
152290000019,critica,3,6
151810000019,critica,5,104
151810000007,critica,5,3
152110000142,critica,6,109
150970000048,critica,0,0
152110000135,critica,3,122
152110000134,critica,1,1
152110000011,critica,9,124
150120000001,critica,6,10
150120000002,critica,3,6
152040000030,critica,0,0
150120000046,critica,5,127
150120000034,critica,0,0
152110000030,critica,3,123
150120000032,critica,0,0
151460002828,critica,0,0
151460004447,critica,2,47
151460004433,critica,3,7
151460004436,critica,0,0
151460004435,critica,4,106
151460004446,critica,0,0
151460004266,critica,7,124
151810000010,critica,8,13
