SEZ2011,tile_x,tile_y,zoom
151660000018,17217,11713,15
151660000118,17217,11714,15
151660000061,17218,11712,15
151660000061,17218,11713,15
151660000290,17220,11713,15
151660000290,17220,11714,15
151660000290,17219,11713,15
151660000290,17219,11714,15
151660000231,17216,11713,15
151660000086,17217,11714,15
151660000086,17218,11714,15
151660000063,17218,11712,15
151660000063,17217,11712,15
151660000076,17217,11713,15
151660000052,17218,11713,15
151460002751,17223,11731,15
151460003224,17217,11732,15
151460003224,17216,11732,15
151890000099,17219,11738,15
151950000109,17230,11737,15
151950000109,17231,11737,15
151460003245,17216,11731,15
151440000002,17189,11722,15
151440000002,17189,11723,15
150410000028,17192,11716,15
150410000028,17192,11717,15
150410000028,17193,11716,15
150410000028,17193,11717,15
150410000016,17192,11715,15
150410000016,17192,11716,15
150410000016,17193,11715,15
150410000016,17193,11716,15
150410000004,17192,11716,15
150410000004,17193,11716,15
151460002565,17223,11731,15
150700000004,17232,11719,15
150700000004,17233,11719,15
151460001262,17225,11720,15
151460001262,17226,11720,15
151460001267,17226,11721,15
151890000097,17219,11738,15
151890000094,17219,11738,15
151890000031,17217,11737,15
151890000098,17219,11738,15
151920000052,17223,11735,15
151920000052,17224,11734,15
151920000052,17224,11735,15
151920000052,17223,11734,15
151920000051,17223,11735,15
151920000051,17224,11735,15
151460002750,17223,11731,15
151460002753,17222,11731,15
151460002753,17223,11731,15
151590000013,17222,11736,15
151590000014,17222,11736,15
151590000022,17222,11736,15
151950000009,17229,11735,15
151950000009,17230,11735,15
151950000071,17230,11737,15
151950000071,17229,11736,15
151950000071,17229,11737,15
151950000071,17230,11736,15
151460003225,17217,11732,15
151460006067,17225,11720,15
151460001263,17225,11720,15
151460001263,17226,11720,15
151840000030,17190,11730,15
151460002567,17223,11731,15
150700000009,17233,11719,15
150260000008,17188,11728,15
150260000008,17189,11727,15
150260000008,17189,11728,15
150260000008,17188,11727,15
151460003209,17217,11731,15
151460003209,17217,11732,15
151460003209,17216,11731,15
151460003209,17216,11732,15
150960000009,17186,11722,15
150960000009,17186,11721,15
