SEZ2011,COMUNE,n_colonnine_reali_rimosse,distanza_rank1_m,distanza_migliore_m,rank_migliore
150100000010,Arluno,2,252.7,141.4,2
150140000003,Basiano,4,778.9,778.9,1
150240000036,Binasco,12,418.0,398.7,2
150260000002,Boffalora sopra Ticino,4,145.5,17.8,3
150320000042,Bresso,6,45.5,45.5,1
150320000100,Bresso,6,345.9,345.9,1
150350000001,Bubbiano,10,259.4,151.5,3
150400000009,Bussero,4,574.1,463.1,3
150420000001,Calvignasco,8,5.9,5.9,1
150440000005,Cambiago,6,564.2,564.2,1
150500000002,Carpiano,3,32.9,32.9,1
150510000005,Carugate,104,155.5,140.9,2
150580000001,Casorezzo,10,151.4,151.4,1
150590000016,Cassano d'Adda,16,486.0,223.3,2
150600000047,Cassina de' Pecchi,4,260.8,260.8,1
150720000007,Cerro Maggiore,2,603.9,589.4,2
150740000017,Cesano Boscone,6,426.8,272.7,3
150770000248,Cinisello Balsamo,10,249.2,249.2,1
150860000013,Cormano,4,579.0,579.0,1
150960000003,Cuggiono,6,373.1,373.1,1
150970000016,Cusago,10,332.4,332.4,1
150980000024,Cusano Milanino,22,481.9,364.3,3
151010000001,Dresano,6,376.3,376.3,1
151050000004,Garbagnate Milanese,10,329.2,159.4,2
151060000004,Gessate,18,569.2,532.3,2
151100000003,Grezzago,8,102.3,56.5,3
151130000015,Inveruno,6,531.6,531.6,1
151140000002,Inzago,4,250.9,250.9,1
151140000010,Inzago,4,280.8,280.8,1
151180000017,Legnano,5,430.7,336.1,2
151220000001,Liscate,4,205.2,205.2,1
151310000007,Magnago,6,134.7,134.7,1
151400000011,Melegnano,2,465.5,465.5,1
151420000016,Melzo,9,440.3,440.3,1
151460000116,Milano,77,89.2,89.2,1
151460001213,Milano,27,173.0,173.0,1
151460001527,Milano,55,112.2,112.2,1
151460002766,Milano,19,94.1,94.1,1
151460003080,Milano,12,402.6,402.6,1
151460003311,Milano,13,290.2,230.1,2
151460005385,Milano,56,74.2,74.2,1
151510000001,Motta Visconti,4,290.9,124.0,2
151540000001,Nerviano,9,142.5,28.4,3
151570000080,Novate Milanese,2,446.1,446.1,1
151590000001,Opera,2,524.9,208.3,2
151640000006,Ossona,6,83.4,83.4,1
151680000025,Parabiago,2,371.3,371.3,1
151690000017,Paullo,2,379.7,379.7,1
151700000011,Pero,2,368.2,368.2,1
151710000012,Peschiera Borromeo,17,109.3,109.3,1
151720000001,Pessano con Bornago,2,567.1,456.4,2
151730000013,Pieve Emanuele,2,39.1,39.1,1
151790000010,Pregnana Milanese,18,442.3,442.3,1
151820000111,Rho,18,185.5,185.5,1
151850000013,Rodano,2,333.4,333.4,1
151880000002,Rosate,16,128.1,128.1,1
151910000007,San Colombano al Lambro,4,200.4,200.4,1
151950000031,San Giuliano Milanese,4,279.1,279.1,1
151950000061,San Giuliano Milanese,4,391.9,391.9,1
152060000021,Senago,4,118.8,111.5,2
152130000005,Solaro,12,32.3,32.3,1
152190000003,Trezzano Rosa,6,235.2,235.2,1
152200000015,Trezzano sul Naviglio,14,285.7,285.7,1
152210000004,Trezzo sull'Adda,14,76.5,76.5,1
152240000002,Truccazzano,4,354.7,354.7,1
152260000009,Turbigo,2,808.5,808.5,1
152290000002,Vanzago,4,190.4,190.4,1
152300000005,Vaprio d'Adda,11,390.4,4.1,3
152350000003,Vermezzo,6,315.2,315.2,1
152370000003,Vignate,3,211.9,211.9,1
152440000005,Vizzolo Predabissi,5,282.0,27.4,3
152460000001,Zelo Surrigone,6,267.5,148.0,3
152470000024,Zibido San Giacomo,12,273.6,52.4,3
152500000027,Baranzate,2,345.7,345.7,1
